,Ravenclaw,Slytherin,Gryffindor,Hufflepuff
0,-2.8181953835042384,0.8558693761035043,-0.029445743496178227,-0.6945543063199483
1,-0.10797876889033363,0.13691233644478526,-0.09540639696359797,-0.10438264957871114
2,-4.191443301165545,-2.149895941386505,1.3055120362484622,3.606020263952278
3,1.6122102761478272,-2.6697971406855867,-3.37423994398448,4.374854981896617
4,1.4224550312450377,3.0174175589398122,-1.3078098786939327,-4.231954837623355
5,1.1668040074028052,-4.388109785062699,1.1238379918750223,1.1817083846006222
6,4.158962999368852,-1.5742991903343118,-0.2919435439054529,-2.905130500601533
7,1.0690101435297898,-1.102107182664519,1.9782896442313826,-3.2176961185892705
8,-0.9535177643988396,1.2703412639684795,-3.9042132408266808,2.9842101006451016
9,-1.8456268144309487,0.8702449839281302,-0.7245312298187174,0.10446754767423655
10,-1.1236538584573683,2.341869928005516,-1.3308696305248477,-0.9936398661831378
11,-1.0006028497382404,0.36625149726920564,-0.12568077057276322,-0.08764704587644188
12,4.257275139554577,-2.2152634920921974,-2.0944982111232946,-0.058348941659202534
13,-0.8664031371207056,-1.7406917229990817,4.036109041654646,-3.1812610173966616
